LayouterMode: RTX
[1;33m@owl: bvh build mem: 127 items, 2.98Kb bounds, 9.25Kb temp, 10.16Kb initBVH, 0b finalBVH[0m
Iteration: 1
Elapsed: 0.0100651
TimeRepulsiveForce: 0.0100651
AvgTimeRepulsiveForce: 0.0100651
TimeBuildAccel: 0.00410214
TimeTraverseAccel: 0.00876544
NumNodes: 127
NumEdges: 126
kValue: 0.976092
Temperature: 1.1
TimeAttractiveForces: 0.00115098
TimeDisperse: 0.00128394
TimeCopyBack: 8.608e-06

[1;33m@owl: bvh build mem: 127 items, 2.98Kb bounds, 9.25Kb temp, 10.16Kb initBVH, 0b finalBVH[0m
Iteration: 2
Elapsed: 0.00994304
TimeRepulsiveForce: 0.00994304
AvgTimeRepulsiveForce: 0.010004
TimeBuildAccel: 0.00731155
TimeTraverseAccel: 0.00855174
NumNodes: 127
NumEdges: 126
kValue: 0.976092
Temperature: 1.0989
TimeAttractiveForces: 0.00117082
TimeDisperse: 0.00115917
TimeCopyBack: 8.064e-06

[1;33m@owl: bvh build mem: 127 items, 2.98Kb bounds, 9.25Kb temp, 10.16Kb initBVH, 0b finalBVH[0m
Iteration: 3
Elapsed: 0.0105655
TimeRepulsiveForce: 0.0105655
AvgTimeRepulsiveForce: 0.0101912
TimeBuildAccel: 0.0079401
TimeTraverseAccel: 0.00918928
NumNodes: 127
NumEdges: 126
kValue: 0.976092
Temperature: 1.0978
TimeAttractiveForces: 0.00115274
TimeDisperse: 0.00148432
TimeCopyBack: 1.0272e-05

[1;33m@owl: bvh build mem: 127 items, 2.98Kb bounds, 9.25Kb temp, 10.16Kb initBVH, 0b finalBVH[0m
Iteration: 4
Elapsed: 0.0116944
TimeRepulsiveForce: 0.0116944
AvgTimeRepulsiveForce: 0.010567
TimeBuildAccel: 0.00878627
TimeTraverseAccel: 0.0103428
NumNodes: 127
NumEdges: 126
kValue: 0.976092
Temperature: 1.09671
TimeAttractiveForces: 0.00145894
TimeDisperse: 0.00148803
TimeCopyBack: 1.4656e-05

[1;33m@owl: bvh build mem: 127 items, 2.98Kb bounds, 9.25Kb temp, 10.16Kb initBVH, 0b finalBVH[0m
Iteration: 5
Elapsed: 0.0107367
TimeRepulsiveForce: 0.0107367
AvgTimeRepulsiveForce: 0.0106009
TimeBuildAccel: 0.00804042
TimeTraverseAccel: 0.00940419
NumNodes: 127
NumEdges: 126
kValue: 0.976092
Temperature: 1.09561
TimeAttractiveForces: 0.00125338
TimeDisperse: 0.00127002
TimeCopyBack: 7.776e-06

[1;33m@owl: bvh build mem: 127 items, 2.98Kb bounds, 9.25Kb temp, 10.16Kb initBVH, 0b finalBVH[0m
Iteration: 6
Elapsed: 0.0106153
TimeRepulsiveForce: 0.0106153
AvgTimeRepulsiveForce: 0.0106033
TimeBuildAccel: 0.00766605
TimeTraverseAccel: 0.0092063
NumNodes: 127
NumEdges: 126
kValue: 0.976092
Temperature: 1.09452
TimeAttractiveForces: 0.00125974
TimeDisperse: 0.00125795
TimeCopyBack: 1.2192e-05

[1;33m@owl: bvh build mem: 127 items, 2.98Kb bounds, 9.25Kb temp, 10.16Kb initBVH, 0b finalBVH[0m
Iteration: 7
Elapsed: 0.0104961
TimeRepulsiveForce: 0.0104961
AvgTimeRepulsiveForce: 0.010588
TimeBuildAccel: 0.00781315
TimeTraverseAccel: 0.00917712
NumNodes: 127
NumEdges: 126
kValue: 0.976092
Temperature: 1.09342
TimeAttractiveForces: 0.00145651
TimeDisperse: 0.00146419
TimeCopyBack: 1.6384e-05

[1;33m@owl: bvh build mem: 127 items, 2.98Kb bounds, 9.25Kb temp, 10.16Kb initBVH, 0b finalBVH[0m
Iteration: 8
Elapsed: 0.0107611
TimeRepulsiveForce: 0.0107611
AvgTimeRepulsiveForce: 0.0106097
TimeBuildAccel: 0.00832483
TimeTraverseAccel: 0.0095615
NumNodes: 127
NumEdges: 126
kValue: 0.976092
Temperature: 1.09233
TimeAttractiveForces: 0.001284
TimeDisperse: 0.00119802
TimeCopyBack: 8.608e-06

[1;33m@owl: bvh build mem: 127 items, 2.98Kb bounds, 9.25Kb temp, 10.16Kb initBVH, 0b finalBVH[0m
Iteration: 9
Elapsed: 0.0104329
TimeRepulsiveForce: 0.0104329
AvgTimeRepulsiveForce: 0.01059
TimeBuildAccel: 0.00768547
TimeTraverseAccel: 0.00895501
NumNodes: 127
NumEdges: 126
kValue: 0.976092
Temperature: 1.09124
TimeAttractiveForces: 0.00122822
TimeDisperse: 0.00121258
TimeCopyBack: 8.448e-06

[1;33m@owl: bvh build mem: 127 items, 2.98Kb bounds, 9.25Kb temp, 10.16Kb initBVH, 0b finalBVH[0m
Iteration: 10
Elapsed: 0.0106904
TimeRepulsiveForce: 0.0106904
AvgTimeRepulsiveForce: 0.0106001
TimeBuildAccel: 0.00806694
TimeTraverseAccel: 0.0093448
NumNodes: 127
NumEdges: 126
kValue: 0.976092
Temperature: 1.09015
TimeAttractiveForces: 0.00143242
TimeDisperse: 0.00125747
TimeCopyBack: 1.5552e-05

[1;33m@owl: bvh build mem: 127 items, 2.98Kb bounds, 9.25Kb temp, 10.16Kb initBVH, 0b finalBVH[0m
Iteration: 11
Elapsed: 0.0106344
TimeRepulsiveForce: 0.0106344
AvgTimeRepulsiveForce: 0.0106032
TimeBuildAccel: 0.00802128
TimeTraverseAccel: 0.0093528
NumNodes: 127
NumEdges: 126
kValue: 0.976092
Temperature: 1.08906
TimeAttractiveForces: 0.00120832
TimeDisperse: 0.00120528
