LayouterMode: LBVH
@owl: LBVH build mem: 0.0K items, 0.0Mb bounds, 0.0Mb temp, 8.00Mb initBVH, 0b finalBVH
Iteration: 1
Elapsed: 0.0115794
TimeRepulsiveForce: 0.0115794
AvgTimeRepulsiveForce: 0.0115794
TimeBuildAccel: 0.00702413
TimeTraverseAccel: 0.010402
NumNodes: 131071
NumEdges: 131070
kValue: 0.999897
Temperature: 36.2
TimeAttractiveForces: 0.00126285
TimeDisperse: 0.00128634
TimeCopyBack: 0.000192608

@owl: LBVH build mem: 0.0K items, 0.0Mb bounds, 0.0Mb temp, 8.00Mb initBVH, 0b finalBVH
Iteration: 2
Elapsed: 0.116128
TimeRepulsiveForce: 0.116128
AvgTimeRepulsiveForce: 0.0638536
TimeBuildAccel: 0.00664432
TimeTraverseAccel: 0.114844
NumNodes: 131071
NumEdges: 131070
kValue: 0.999897
Temperature: 36.1638
TimeAttractiveForces: 0.00120218
TimeDisperse: 0.00120013
TimeCopyBack: 0.000196128

@owl: LBVH build mem: 0.0K items, 0.0Mb bounds, 0.0Mb temp, 8.00Mb initBVH, 0b finalBVH
Iteration: 3
Elapsed: 0.112289
TimeRepulsiveForce: 0.112289
AvgTimeRepulsiveForce: 0.0799988
TimeBuildAccel: 0.0116257
TimeTraverseAccel: 0.111006
NumNodes: 131071
NumEdges: 131070
kValue: 0.999897
Temperature: 36.1277
TimeAttractiveForces: 0.00120707
TimeDisperse: 0.00119088
TimeCopyBack: 0.000193824

@owl: LBVH build mem: 0.0K items, 0.0Mb bounds, 0.0Mb temp, 8.00Mb initBVH, 0b finalBVH
Iteration: 4
Elapsed: 0.090502
TimeRepulsiveForce: 0.090502
AvgTimeRepulsiveForce: 0.0826246
TimeBuildAccel: 0.00926157
TimeTraverseAccel: 0.0892872
NumNodes: 131071
NumEdges: 131070
kValue: 0.999897
Temperature: 36.0916
TimeAttractiveForces: 0.00116531
TimeDisperse: 0.0011593
TimeCopyBack: 0.000188352

@owl: LBVH build mem: 0.0K items, 0.0Mb bounds, 0.0Mb temp, 8.00Mb initBVH, 0b finalBVH
Iteration: 5
Elapsed: 0.14005
TimeRepulsiveForce: 0.14005
AvgTimeRepulsiveForce: 0.0941096
TimeBuildAccel: 0.0118412
TimeTraverseAccel: 0.138678
NumNodes: 131071
NumEdges: 131070
kValue: 0.999897
Temperature: 36.0556
TimeAttractiveForces: 0.00137376
TimeDisperse: 0.00136342
TimeCopyBack: 0.0001944

@owl: LBVH build mem: 0.0K items, 0.0Mb bounds, 0.0Mb temp, 8.00Mb initBVH, 0b finalBVH
Iteration: 6
Elapsed: 0.135954
TimeRepulsiveForce: 0.135954
AvgTimeRepulsiveForce: 0.101084
TimeBuildAccel: 0.0116996
TimeTraverseAccel: 0.134791
NumNodes: 131071
NumEdges: 131070
kValue: 0.999897
Temperature: 36.0195
TimeAttractiveForces: 0.00116205
TimeDisperse: 0.00115632
TimeCopyBack: 0.000184928

@owl: LBVH build mem: 0.0K items, 0.0Mb bounds, 0.0Mb temp, 8.00Mb initBVH, 0b finalBVH
Iteration: 7
Elapsed: 0.106727
TimeRepulsiveForce: 0.106727
AvgTimeRepulsiveForce: 0.10189
TimeBuildAccel: 0.0115021
TimeTraverseAccel: 0.105475
NumNodes: 131071
NumEdges: 131070
kValue: 0.999897
Temperature: 35.9835
TimeAttractiveForces: 0.00122061
TimeDisperse: 0.00121808
TimeCopyBack: 0.00017952

@owl: LBVH build mem: 0.0K items, 0.0Mb bounds, 0.0Mb temp, 8.00Mb initBVH, 0b finalBVH
Iteration: 8
Elapsed: 0.143787
TimeRepulsiveForce: 0.143787
AvgTimeRepulsiveForce: 0.107127
TimeBuildAccel: 0.0135544
TimeTraverseAccel: 0.142577
NumNodes: 131071
NumEdges: 131070
kValue: 0.999897
Temperature: 35.9476
TimeAttractiveForces: 0.00126586
TimeDisperse: 0.00115683
TimeCopyBack: 0.000179648

@owl: LBVH build mem: 0.0K items, 0.0Mb bounds, 0.0Mb temp, 8.00Mb initBVH, 0b finalBVH
Iteration: 9
Elapsed: 0.147665
TimeRepulsiveForce: 0.147665
AvgTimeRepulsiveForce: 0.111631
TimeBuildAccel: 0.0118203
TimeTraverseAccel: 0.146373
NumNodes: 131071
NumEdges: 131070
kValue: 0.999897
Temperature: 35.9117
TimeAttractiveForces: 0.00134144
TimeDisperse: 0.00134144
TimeCopyBack: 0.00018432

@owl: LBVH build mem: 0.0K items, 0.0Mb bounds, 0.0Mb temp, 8.00Mb initBVH, 0b finalBVH
Iteration: 10
Elapsed: 0.141618
TimeRepulsiveForce: 0.141618
AvgTimeRepulsiveForce: 0.11463
TimeBuildAccel: 0.013717
TimeTraverseAccel: 0.140348
NumNodes: 131071
NumEdges: 131070
kValue: 0.999897
Temperature: 35.8758
TimeAttractiveForces: 0.0011625
TimeDisperse: 0.00138627
TimeCopyBack: 0.000176928

@owl: LBVH build mem: 0.0K items, 0.0Mb bounds, 0.0Mb temp, 8.00Mb initBVH, 0b finalBVH
Iteration: 11
Elapsed: 0.0996511
TimeRepulsiveForce: 0.0996511
AvgTimeRepulsiveForce: 0.113268
