LayouterMode: RTX
[1;33m@owl: bvh build mem: 63 items, 1.48Kb bounds, 4.75Kb temp, 7.06Kb initBVH, 0b finalBVH[0m
Iteration: 1
Elapsed: 0.0095327
TimeRepulsiveForce: 0.0095327
AvgTimeRepulsiveForce: 0.0095327
TimeBuildAccel: 0.004352
TimeTraverseAccel: 0.00824026
NumNodes: 63
NumEdges: 62
kValue: 0.881917
Temperature: 0.7
TimeAttractiveForces: 0.00132915
TimeDisperse: 0.0013271
TimeCopyBack: 1.5968e-05

[1;33m@owl: bvh build mem: 63 items, 1.48Kb bounds, 4.75Kb temp, 7.06Kb initBVH, 0b finalBVH[0m
Iteration: 2
Elapsed: 0.010282
TimeRepulsiveForce: 0.010282
AvgTimeRepulsiveForce: 0.00990738
TimeBuildAccel: 0.00790365
TimeTraverseAccel: 0.00913478
NumNodes: 63
NumEdges: 62
kValue: 0.881917
Temperature: 0.699301
TimeAttractiveForces: 0.00117811
TimeDisperse: 0.00130621
TimeCopyBack: 1.1904e-05

[1;33m@owl: bvh build mem: 63 items, 1.48Kb bounds, 4.75Kb temp, 7.06Kb initBVH, 0b finalBVH[0m
Iteration: 3
Elapsed: 0.0104774
TimeRepulsiveForce: 0.0104774
AvgTimeRepulsiveForce: 0.0100974
TimeBuildAccel: 0.00784733
TimeTraverseAccel: 0.0091257
NumNodes: 63
NumEdges: 62
kValue: 0.881917
Temperature: 0.698602
TimeAttractiveForces: 0.00144922
TimeDisperse: 0.00144755
TimeCopyBack: 9.312e-06

[1;33m@owl: bvh build mem: 63 items, 1.48Kb bounds, 4.75Kb temp, 7.06Kb initBVH, 0b finalBVH[0m
Iteration: 4
Elapsed: 0.0101499
TimeRepulsiveForce: 0.0101499
AvgTimeRepulsiveForce: 0.0101105
TimeBuildAccel: 0.00759485
TimeTraverseAccel: 0.0089312
NumNodes: 63
NumEdges: 62
kValue: 0.881917
Temperature: 0.697904
TimeAttractiveForces: 0.0012615
TimeDisperse: 0.00153978
TimeCopyBack: 7.552e-06

[1;33m@owl: bvh build mem: 63 items, 1.48Kb bounds, 4.75Kb temp, 7.06Kb initBVH, 0b finalBVH[0m
Iteration: 5
Elapsed: 0.0115306
TimeRepulsiveForce: 0.0115306
AvgTimeRepulsiveForce: 0.0103945
TimeBuildAccel: 0.00873014
TimeTraverseAccel: 0.0100644
NumNodes: 63
NumEdges: 62
kValue: 0.881917
Temperature: 0.697207
TimeAttractiveForces: 0.00125133
TimeDisperse: 0.00124557
TimeCopyBack: 1.2128e-05

